s,p,o
odang_person_5680861,P21,Q6581097
odang_person_5680861,P569,1960
odang_person_5680861,message,13
139,refersTo,odang_person_1418466
odang_person_1418466,label_it,Mattia Marchi
odang_person_1418466,P106,Q937857
odang_person_1418466,P1412,Q652
odang_person_1418466,P19,Q13369
odang_person_1418466,P21,Q6581097
odang_person_1418466,P27,Q38
odang_person_1418466,P569,1989
odang_person_1418466,message,139
182,refersTo,odang_person_6329154
odang_person_6329154,label_it,Albert Janetschek
odang_person_6329154,P106,Q36180
odang_person_6329154,P19,Q674323
odang_person_6329154,P20,Q131612
odang_person_6329154,P21,Q6581097
odang_person_6329154,P27,Q40
odang_person_6329154,P569,1925
odang_person_6329154,message,182
89,refersTo,odang_person_219301
odang_person_219301,label_it,Elena Landau
odang_person_219301,P106,Q188094
odang_person_219301,P1412,Q5146
odang_person_219301,P19,Q8678
odang_person_219301,P21,Q6581072
odang_person_219301,P27,Q155
odang_person_219301,P569,1958
odang_person_219301,message,89
70,refersTo,odang_person_6261946
odang_person_6261946,label_it,Francis Davis
odang_person_6261946,P106,Q49757
odang_person_6261946,P20,Q10686
odang_person_6261946,P21,Q6581097
odang_person_6261946,P569,1810
odang_person_6261946,message,70
201,refersTo,odang_person_128621
odang_person_128621,label_it,"Arvie Lowe, Jr."
odang_person_128621,P106,Q33999
odang_person_128621,P19,Q65
odang_person_128621,P21,Q6581097
odang_person_128621,P27,Q30
odang_person_128621,P569,1978
odang_person_128621,message,201
50,refersTo,odang_person_2603113
odang_person_2603113,label_it,Pablo Guglieri
odang_person_2603113,P21,Q6581097
odang_person_2603113,P27,Q414
odang_person_2603113,P569,1865
odang_person_2603113,message,50
26,refersTo,odang_person_2739823
odang_person_2739823,label_it,Hideo Nishimura
odang_person_2739823,P106,Q11063
odang_person_2739823,P21,Q6581097
odang_person_2739823,P569,1949
odang_person_2739823,message,26
19,refersTo,odang_person_6336588
odang_person_6336588,label_it,Louisa  De Jans
odang_person_6336588,P106,Q1028181
odang_person_6336588,P21,Q6581072
odang_person_6336588,P27,Q31
odang_person_6336588,P569,1884
odang_person_6336588,message,19
44,refersTo,odang_person_1595784
odang_person_1595784,label_it,Margaret Giles
odang_person_1595784,P106,Q1281618
odang_person_1595784,P19,Q84
odang_person_1595784,P20,Q23154
odang_person_1595784,P21,Q6581072
odang_person_1595784,P27,Q145
odang_person_1595784,P569,1868
odang_person_1595784,P937,Q84
odang_person_1595784,message,44
119,refersTo,odang_person_1284905
odang_person_1284905,label_it,Hubert Corbin
odang_person_1284905,P103,Q150
odang_person_1284905,P106,Q36180
odang_person_1284905,P1412,Q150
odang_person_1284905,P19,Q1017260
odang_person_1284905,P21,Q6581097
odang_person_1284905,P27,Q142
odang_person_1284905,P569,1951
odang_person_1284905,message,119
40,refersTo,odang_person_3852046
odang_person_3852046,label_it,Monalisa Basarab
odang_person_3852046,P106,Q33999
odang_person_3852046,P1412,Q7913
odang_person_3852046,P21,Q6581072
odang_person_3852046,P27,Q218
odang_person_3852046,P569,1972
odang_person_3852046,message,40
148,refersTo,odang_person_5393918
odang_person_5393918,label_it,Kurt Schneider
odang_person_5393918,P106,Q2309784
odang_person_5393918,P21,Q6581097
odang_person_5393918,P27,Q40
odang_person_5393918,P569,1932
odang_person_5393918,message,148
134,refersTo,odang_person_4950358
odang_person_4950358,label_it,Joseph Simon Newman
odang_person_4950358,P106,Q49757
odang_person_4950358,P21,Q6581097
odang_person_4950358,P27,Q30
odang_person_4950358,P569,1891
odang_person_4950358,message,134
172,refersTo,odang_person_4864658
odang_person_4864658,label_it,Henri Duffaut
odang_person_4864658,P102,Q170972
odang_person_4864658,P103,Q150
odang_person_4864658,P106,Q82955
odang_person_4864658,P1412,Q150
odang_person_4864658,P19,Q174019
odang_person_4864658,P20,Q6397
odang_person_4864658,P21,Q6581097
odang_person_4864658,P27,Q142
odang_person_4864658,P39,Q3044918
odang_person_4864658,P40,Q33102262
odang_person_4864658,P569,1907
odang_person_4864658,P937,Q90
odang_person_4864658,message,172
9,refersTo,odang_person_6144416
odang_person_6144416,label_it,Joseph Schleifstein
odang_person_6144416,P1412,Q809
odang_person_6144416,P172,Q7325
odang_person_6144416,P19,Q193177
odang_person_6144416,P21,Q6581097
odang_person_6144416,P2632,Q30005988
odang_person_6144416,P27,Q36
odang_person_6144416,P551,Q7077
odang_person_6144416,P569,1941
odang_person_6144416,message,9
30,refersTo,odang_person_5148705
odang_person_5148705,label_it,Daniela Fondi
odang_person_5148705,P21,Q6581072
odang_person_5148705,P569,1946
odang_person_5148705,message,30
181,refersTo,odang_person_4930416
odang_person_4930416,label_it,Harry Osborne
odang_person_4930416,P106,Q1475726
odang_person_4930416,P166,Q59780328
odang_person_4930416,P21,Q6581097
odang_person_4930416,P463,Q3446009
odang_person_4930416,P569,1875
odang_person_4930416,message,181
148,refersTo,odang_person_9499654
odang_person_9499654,label_it,Liridon Balaj
odang_person_9499654,P106,Q937857
odang_person_9499654,P19,Q68124
odang_person_9499654,P21,Q6581097
odang_person_9499654,P27,Q1246
odang_person_9499654,P569,1999
odang_person_9499654,message,148
49,refersTo,odang_person_4930063
odang_person_4930063,label_it,Haroon
odang_person_4930063,P106,Q36834
odang_person_4930063,P1412,Q1860
odang_person_4930063,P19,Q84
odang_person_4930063,P21,Q6581097
odang_person_4930063,P27,Q145
odang_person_4930063,P569,1973
odang_person_4930063,message,49
105,refersTo,odang_person_1215211
odang_person_1215211,label_it,Richard Sears
odang_person_1215211,P106,Q10833314
odang_person_1215211,P166,Q52454
odang_person_1215211,P19,Q100
odang_person_1215211,P20,Q100
odang_person_1215211,P21,Q6581097
odang_person_1215211,P22,Q96636861
odang_person_1215211,P27,Q30
odang_person_1215211,P3373,Q15998438
odang_person_1215211,P40,Q107002689
odang_person_1215211,P569,1861
odang_person_1215211,message,105
96,refersTo,odang_person_8564344
odang_person_8564344,label_it,Tony Chachere
odang_person_8564344,P106,Q3499072
odang_person_8564344,P19,Q1154039
odang_person_8564344,P21,Q6581097
odang_person_8564344,P27,Q30
odang_person_8564344,P569,1905
odang_person_8564344,message,96
169,refersTo,odang_person_2501911
odang_person_2501911,label_it,Popin Pete
odang_person_2501911,P106,Q2490358
odang_person_2501911,P19,Q30
odang_person_2501911,P21,Q6581097
odang_person_2501911,P27,Q30
odang_person_2501911,P569,1961
odang_person_2501911,message,169
134,refersTo,odang_person_3638955
odang_person_3638955,label_it,Hugo Wolff
odang_person_3638955,P102,Q49768
odang_person_3638955,P103,Q188
odang_person_3638955,P106,Q82955
odang_person_3638955,P1412,Q188
odang_person_3638955,P19,Q1334751
odang_person_3638955,P20,Q3525
odang_person_3638955,P21,Q6581097
odang_person_3638955,P27,Q183
odang_person_3638955,P39,Q17521638
odang_person_3638955,P569,1909
odang_person_3638955,P937,Q1715
odang_person_3638955,message,134
3,refersTo,odang_person_203704
odang_person_203704,label_it,The Diminisher
odang_person_203704,P21,Q6581097
odang_person_203704,P27,Q30
odang_person_203704,P569,1976
odang_person_203704,message,3
174,refersTo,odang_person_8963711
odang_person_8963711,label_it,Friedrich von Pünderich
odang_person_8963711,P106,Q830337
odang_person_8963711,P21,Q6581097
odang_person_8963711,P569,1580
odang_person_8963711,message,174
137,refersTo,odang_person_951
odang_person_951,label_it,Nozomu Tamaki
odang_person_951,P106,Q191633
odang_person_951,P1412,Q5287
odang_person_951,P19,Q1490
odang_person_951,P21,Q6581097
odang_person_951,P27,Q17
odang_person_951,P569,1966
odang_person_951,message,137
41,refersTo,odang_person_1191837
odang_person_1191837,label_it,Bernhard Schnappauf
odang_person_1191837,P19,Q3923
odang_person_1191837,P20,Q3923
odang_person_1191837,P21,Q6581097
odang_person_1191837,P569,1840
odang_person_1191837,message,41
189,refersTo,odang_person_3511508
odang_person_3511508,label_it,Robert Alun Jones
odang_person_3511508,P21,Q6581097
odang_person_3511508,P569,1943
odang_person_3511508,message,189
87,refersTo,odang_person_4963667
odang_person_4963667,label_it,Nathan Gibbs
odang_person_4963667,P106,Q14373094
odang_person_4963667,P1412,Q1860
odang_person_4963667,P21,Q6581097
odang_person_4963667,P27,Q408
odang_person_4963667,P569,1959
odang_person_4963667,message,87
8,refersTo,odang_person_7416404
odang_person_7416404,label_it,Rune Haglund
odang_person_7416404,P106,Q639669
odang_person_7416404,P21,Q6581097
odang_person_7416404,P27,Q20
odang_person_7416404,P569,1965
odang_person_7416404,message,8
79,refersTo,odang_person_2752907
odang_person_2752907,label_it,Mark Lund
odang_person_2752907,P106,Q2405480
odang_person_2752907,P21,Q6581097
odang_person_2752907,P569,1967
odang_person_2752907,message,79
21,refersTo,odang_person_16298
odang_person_16298,label_it,Quinto Claudio Quadrigario
odang_person_16298,P106,Q99899510
odang_person_16298,P1412,Q397
odang_person_16298,P19,Q1747689
odang_person_16298,P21,Q6581097
odang_person_16298,P27,Q1747689
odang_person_16298,P569,200
odang_person_16298,P6886,Q397
odang_person_16298,message,21
86,refersTo,odang_person_183715
odang_person_183715,label_it,Mary Bowermaster
odang_person_183715,P106,Q11513337
odang_person_183715,P166,Q11795583
odang_person_183715,P21,Q6581072
odang_person_183715,P27,Q30
odang_person_183715,P569,1917
odang_person_183715,message,86
103,refersTo,odang_person_8764961
odang_person_8764961,label_it,Maria Nardi
odang_person_8764961,P106,Q10843402
odang_person_8764961,P1412,Q652
odang_person_8764961,P19,Q13364
odang_person_8764961,P21,Q6581072
odang_person_8764961,P27,Q38
odang_person_8764961,P569,1935
odang_person_8764961,message,103
130,refersTo,odang_person_1298503
odang_person_1298503,label_it,Alessandro Bollani
odang_person_1298503,P106,Q937857
odang_person_1298503,P1412,Q652
odang_person_1298503,P19,Q1449
odang_person_1298503,P21,Q6581097
odang_person_1298503,P27,Q38
odang_person_1298503,P569,1895
odang_person_1298503,message,130
99,refersTo,odang_person_7432705
odang_person_7432705,label_it,Emil C. Crăciun
odang_person_7432705,P106,Q39631
odang_person_7432705,P1412,Q7913
odang_person_7432705,P21,Q6581097
odang_person_7432705,P27,Q218
odang_person_7432705,P463,Q901677
odang_person_7432705,P569,1896
odang_person_7432705,message,99
10,refersTo,odang_person_5793886
odang_person_5793886,label_it,Jacques Graindorge
odang_person_5793886,P106,Q11063
odang_person_5793886,P21,Q6581097
odang_person_5793886,P569,1602
odang_person_5793886,message,10
